gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1800.0,239.09023075315432,POINT Z (687356.8034128364 7190494.088890234 0),687356.8034128364,7190494.088890234
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2040.0,53.06339084660788,POINT Z (687511.054322043 7190332.71682697 0),687511.054322043,7190332.71682697
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2060.0,46.94428895899901,POINT Z (687526.0915966722 7190345.898358047 0),687526.0915966722,7190345.898358047
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2080.0,47.6184957000226,POINT Z (687540.7220343464 7190359.534527759 0),687540.7220343464,7190359.534527759
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2100.0,47.28481176556751,POINT Z (687555.4942228278 7190373.017191891 0),687555.4942228278,7190373.017191891
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2120.0,47.28481176556751,POINT Z (687570.1889188194 7190386.584281104 0),687570.1889188194,7190386.584281104
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2140.0,48.7067967206357,POINT Z (687585.1428380485 7190399.863516139 0),687585.1428380485,7190399.863516139
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2160.0,47.27825381295436,POINT Z (687599.9433798558 7190413.313040055 0),687599.9433798558,7190413.313040055
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2180.0,47.005833980172525,POINT Z (687614.5914350861 7190426.930402816 0),687614.5914350861,7190426.930402816
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2200.0,48.63270861310677,POINT Z (687629.550984037 7190440.201955657 0),687629.550984037,7190440.201955657
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2220.0,49.52442203415951,POINT Z (687644.5735735417 7190453.404837752 0),687644.5735735417,7190453.404837752
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2240.0,54.08590867534645,POINT Z (687660.1628123469 7190465.909943974 0),687660.1628123469,7190465.909943974
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2260.0,62.52907483056828,POINT Z (687676.9098578214 7190476.805922169 0),687676.9098578214,7190476.805922169
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2280.0,69.23978484035702,POINT Z (687695.2386638554 7190484.727505277 0),687695.2386638554,7190484.727505277
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2300.0,74.50447875590316,POINT Z (687714.3114972811 7190490.732178931 0),687714.3114972811,7190490.732178931
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2320.0,76.59129892742287,POINT Z (687733.6162553849 7190495.952319639 0),687733.6162553849,7190495.952319639
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2340.0,79.38650831730757,POINT Z (687753.1692742483 7190500.128651721 0),687753.1692742483,7190500.128651721
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2360.0,81.35245364656535,POINT Z (687772.8876591788 7190503.455501273 0),687772.8876591788,7190503.455501273
